Sr No,Model Name,Skin Name,Image Link,Warning
51,Samsung Galaxy  A52,Lightning Strike,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Lightning%20Strike.jpg,
52,Samsung Galaxy  A52,Liquid Dreams,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Liquid%20Dreams.jpg,
53,Samsung Galaxy  A52,Magma Glow,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Magma%20Glow.jpg,
54,Samsung Galaxy  A52,Mint Mayhem,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Mint%20Mayhem.jpg,
55,Samsung Galaxy  A52,Modern Block,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Modern%20Block.jpg,
56,Samsung Galaxy  A52,Mystic Hive,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Mystic%20Hive.jpg,
57,Samsung Galaxy  A52,Mystic Pattern,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Mystic%20Pattern.jpg,
58,Samsung Galaxy  A52,Mystic Petals,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Mystic%20Petals.jpg,
59,Samsung Galaxy  A52,Mystic Realms,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Mystic%20Realms.jpg,
60,Samsung Galaxy  A52,Mystic Swirl,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Mystic%20Swirl.jpg,
61,Samsung Galaxy  A52,Mystic Waves,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Mystic%20Waves.jpg,
62,Samsung Galaxy  A52,Nectar Nova,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Nectar%20Nova.jpg,
63,Samsung Galaxy  A52,Neo Grid,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Neo%20Grid.jpg,
64,Samsung Galaxy  A52,Neon Jungle,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Neon%20Jungle.jpg,
65,Samsung Galaxy  A52,Neon Totem,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Neon%20Totem.jpg,
66,Samsung Galaxy  A52,Neon Waves,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Neon%20Waves.jpg,
67,Samsung Galaxy  A52,Orange Circuit,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Orange%20Circuit.jpg,
68,Samsung Galaxy  A52,Orange Grid,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Orange%20Grid.jpg,
69,Samsung Galaxy  A52,Pixel Bloom,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Pixel%20Bloom.jpg,
70,Samsung Galaxy  A52,Pixel Flow,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Pixel%20Flow.jpg,
71,Samsung Galaxy  A52,Pixel Grid,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Pixel%20Grid.jpg,
72,Samsung Galaxy  A52,Pixel Storm,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Pixel%20Storm.jpg,
73,Samsung Galaxy  A52,Pixel Vibe,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Pixel%20Vibe.jpg,
74,Samsung Galaxy  A52,Prism Pulse,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Prism%20Pulse.jpg,
75,Samsung Galaxy  A52,Prism Punk,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Prism%20Punk.jpg,
76,Samsung Galaxy  A52,PulseCore,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_PulseCore.jpg,
77,Samsung Galaxy  A52,Radiant Mirage,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Radiant%20Mirage.jpg,
78,Samsung Galaxy  A52,Rain Spider,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Rain%20Spider.jpg,
79,Samsung Galaxy  A52,Red Core,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Red%20Core.jpg,
80,Samsung Galaxy  A52,Red Eclipse,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Red%20Eclipse.jpg,
81,Samsung Galaxy  A52,Red Grid,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Red%20Grid.jpg,
82,Samsung Galaxy  A52,Red Veins,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Red%20Veins.jpg,
83,Samsung Galaxy  A52,Scarlet Circuit,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Scarlet%20Circuit.jpg,
84,Samsung Galaxy  A52,Serene Slice,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Serene%20Slice.jpg,
85,Samsung Galaxy  A52,Space Voyage,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Space%20Voyage.jpg,
86,Samsung Galaxy  A52,Speed Surge,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Speed%20Surge.jpg,
87,Samsung Galaxy  A52,Spidiii🕷️,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Spidiii%F0%9F%95%B7%EF%B8%8F.jpg,
88,Samsung Galaxy  A52,Spidy,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Spidy.jpg,
89,Samsung Galaxy  A52,Storm Bloom,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Storm%20Bloom.jpg,
90,Samsung Galaxy  A52,StreetMuse,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_StreetMuse.jpg,
91,Samsung Galaxy  A52,Sunpop Sizzle,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Sunpop%20Sizzle.jpg,
92,Samsung Galaxy  A52,Swirl Cosmos,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Swirl%20Cosmos.jpg,
93,Samsung Galaxy  A52,Tech Maze,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Tech%20Maze.jpg,
94,Samsung Galaxy  A52,Tech Titan,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Tech%20Titan.jpg,
95,Samsung Galaxy  A52,Thunder Fury,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Thunder%20Fury.jpg,
96,Samsung Galaxy  A52,Tropic Tangle,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Tropic%20Tangle.jpg,
97,Samsung Galaxy  A52,Twilight Flame,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Twilight%20Flame.jpg,
98,Samsung Galaxy  A52,Unfiltered,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Unfiltered.jpg,
99,Samsung Galaxy  A52,Urban Mosaic,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Urban%20Mosaic.jpg,
100,Samsung Galaxy  A52,Urban Spider,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Urban%20Spider.jpg,
101,Samsung Galaxy  A52,Velvet Volcano,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Velvet%20Volcano.jpg,
102,Samsung Galaxy  A52,Venom Crest,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Venom%20Crest.jpg,
103,Samsung Galaxy  A52,Vivid Triangles,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Vivid%20Triangles.jpg,
104,Samsung Galaxy  A52,Web Noir,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Web%20Noir.jpg,
105,Samsung Galaxy  A52,Winter Vanguard,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Winter%20Vanguard.jpg,
106,Samsung Galaxy  A52,Zesty Zen,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Zesty%20Zen.jpg,
107,Samsung Galaxy  A72,Abstract Flow,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Abstract%20Flow.jpg,
108,Samsung Galaxy  A72,American Valor,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_American%20Valor.jpg,
109,Samsung Galaxy  A72,Binary Flow,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Binary%20Flow.jpg,
110,Samsung Galaxy  A72,Blade Throne,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Blade%20Throne.jpg,
111,Samsung Galaxy  A72,Blush Bang,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Blush%20Bang.jpg,
112,Samsung Galaxy  A72,Candy Static,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Candy%20Static.jpg,
113,Samsung Galaxy  A72,Celestial Vistas,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Celestial%20Vistas.jpg,
114,Samsung Galaxy  A72,Chaos Crown,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Chaos%20Crown.jpg,
115,Samsung Galaxy  A72,Chaos Smile,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Chaos%20Smile.jpg,
116,Samsung Galaxy  A72,Chrome Wave,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Chrome%20Wave.jpg,
117,Samsung Galaxy  A72,Citrus Nova,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Citrus%20Nova.jpg,
118,Samsung Galaxy  A72,Citrus Shock,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Citrus%20Shock.jpg,
119,Samsung Galaxy  A72,Cobalt Carnival,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Cobalt%20Carnival.jpg,
120,Samsung Galaxy  A72,Colorful Owl,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Colorful%20Owl.jpg,
121,Samsung Galaxy  A72,Colorful Tiles,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Colorful%20Tiles.jpg,
122,Samsung Galaxy  A72,Cosmic Fire,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Cosmic%20Fire.jpg,
